Variable Name,Defintion/ Cluster name,Type of Variable,Date announced,Date of last onset,Missing observations,Source,Dataset,State,District,Category,Status,New Cases,Total cases,Active cases,Tests,ICU admission,Deaths,Recovered
dah_arked,Dah Arked,Time-series (numeric),18/5/2021,17/5/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Kedah,Baling,workplace,active,0,24,0,91,0,0,24
dah_berapit,Dah Berapit,Time-series (numeric),20/5/2021,28/5/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Kedah,"Kuala Muda, Kulim",religious,active,0,111,0,178,0,2,109
dah_charok_bemban,Dah Charok Bemban,Time-series (numeric),25/5/2021,1/6/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Kedah,"Baling, Sik",workplace,active,0,46,0,243,0,1,45
dah_emas_suria,Dah Emas Suria,Time-series (numeric),28/5/2021,31/5/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Kedah,"Kuala Muda, Langkawi",community,active,0,39,0,69,0,0,39
dah_helang,Dah Helang,Time-series (numeric),18/5/2021,27/5/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Kedah,Langkawi,workplace,active,0,41,0,308,0,0,41
dah_insun,Dah Insun,Time-series (numeric),20/5/2021,9/6/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Kedah,"Pendang, Kuala Muda",community,active,0,53,0,605,0,2,51
dah_km7,Dah Kilometer Tujuh,Time-series (numeric),4/5/2021,14/5/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Kedah,Baling,education,active,0,40,0,396,0,0,40
dah_lalang,Dah Lalang,Time-series (numeric),10/5/2021,15/5/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Kedah,Baling,religious,active,0,21,0,160,0,0,21
dah_lengkuas,Dah Lengkuas,Time-series (numeric),7/5/2021,6/5/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Kedah,Kota Setar,community,active,0,16,0,28,0,1,15
dah_lubuk_emas,Dah Lubuk Emas,Time-series (numeric),6/5/2021,13/5/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,"Kedah, Pulau Pinang","Bandar Baharu, Seberang Perai Selatan",religious,active,0,42,0,146,0,0,42
dah_mahsuri,Dah Mahsuri,Time-series (numeric),14/5/2021,11/6/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,"Kedah, Perak","Kubang Pasu, Yan, Kota Setar, Langkawi, Batang Padang",religious,active,0,551,0,2293,0,10,541
dah_penghulu,Dah Penghulu,Time-series (numeric),11/5/2021,18/5/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Kedah,Kuala Muda,religious,active,0,38,0,58,0,1,37
dah_pinang,Dah Pinang,Time-series (numeric),28/5/2021,30/5/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Kedah,Kota Setar,education,active,0,32,0,81,0,0,32
dah_putih,Dah Putih,Time-series (numeric),8/5/2021,17/5/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Kedah,"Kota Setar, Kuala Muda, Kubang Pasu, Langkawi",community,active,0,72,0,141,0,2,72
dah_serdang,Dah Serdang,Time-series (numeric),17/5/2021,18/5/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Kedah,"Bandar Baharu, Kulim",workplace,active,0,17,0,104,0,1,16
dah_seri_perigi,Dah Seri Perigi,Time-series (numeric),23/5/2021,28/5/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Kedah,Yan,religious,active,0,37,0,126,0,1,36
dah_utama,Dah Utama,Time-series (numeric),7/5/2021,17/5/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Kedah,"Kuala Muda, Yan",religious,active,0,86,0,219,0,1,85
damai_ketari,Damai Ketari,Time-series (numeric),30/12/2020,19/1/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Pahang,"Bentong, Raub & Temerloh",highRisk,ended,0,85,0,392,0,0,85
damai_pelangi,Damai Pelangi,Time-series (numeric),7/1/2021,4/3/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Selangor & Perak,Hulu Selangor & Batang Padang,detentionCentre,ended,0,198,0,947,0,0,198
damar_laut,Damar Laut,Time-series (numeric),26/11/2020,13/12/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,"Pulau Pinang, Kedah & Perak","Timur Laut, Barat Daya, Seberang Perai Utara, Seberang Perai Tengah, Padang Terap, Kulim, Sik, Kubang Pasu, Larut, Matang & Selama",community,ended,0,192,0,1323,0,0,192
dambai_inanam,Dambai Inanam,Time-series (numeric),24/4/2021,7/5/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Sabah,"Kota Kinabalu, Kuala Penyu, Putatan, Papar",community,active,0,69,0,1067,0,0,69
danan,Danan,Time-series (numeric),4/4/2021,7/4/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Kelantan,Pasir Puteh,education,ended,0,20,0,241,0,0,20
danau,Danau,Time-series (numeric),5/11/2020,22/11/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,WP Kuala Lumpur,Titiwangsa,community,ended,0,18,0,1692,0,0,18
dang_mutiara,Dang Mutiara,Time-series (numeric),12/12/2020,19/1/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,"Selangor, Terangganu & Negeri Sembilan ","Gombak, Kuala Selangor, Dungun, Besut, Kemaman, Kuala Terengganu, Marang, Jelebu & Seremban",workplace,ended,0,56,0,544,0,0,56
dataran_utas,Dataran Utas,Time-series (numeric),6/1/2021,20/3/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,"Selangor, Kelantan & Terengganu","Petaling, Klang, Kuala Langat, Kuala Selangor, Gua Musang, Dungun",workplace,ended,0,448,0,651,0,0,448
dedap,Dedap,Time-series (numeric),11/2/2021,16/2/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Kedah,Yan,education,ended,0,71,0,215,0,0,71
delima,Delima,Time-series (numeric),21/12/2020,22/12/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,WP Kuala Lumpur & Selangor,"Titiwangsa, Gombak & Hulu Langat",education,ended,0,10,0,51,0,0,10
delima_baiduri,Delima Baiduri,Time-series (numeric),31/3/2021,9/4/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Kedah,Kuala Muda,education,ended,0,29,0,89,0,0,29
delima_raya,Delima Raya,Time-series (numeric),26/5/2021,26/6/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Pahang,"Bentong, Temerloh",community,active,0,148,0,166,0,1,147
deluxe,Deluxe,Time-series (numeric),24/5/2021,23/5/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Sabah,"Penampang, Semporna",community,active,0,12,0,15,0,0,12
dermaga,Dermaga,Time-series (numeric),28/11/2020,17/12/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Sabah,Sandakan,workplace,ended,0,48,0,311,0,0,48
dermaga9,Dermaga Sembilan,Time-series (numeric),24/5/2021,11/6/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Johor,Johor Bahru,import,active,0,74,0,199,0,0,74
desa_idaman,Desa Idaman,Time-series (numeric),13/12/2020,29/12/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Johor,"Kulai, Kota Tinggi & Johor Bahru",religious,ended,0,74,0,693,0,0,74
desa_kemuning,Desa Kemuning,Time-series (numeric),10/5/2021,25/5/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Selangor,"Klang, Petaling",religious,active,0,43,0,48,0,0,43
desa_mawar,Desa Mawar,Time-series (numeric),24/4/2021,2/5/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Pahang,Rompin,workplace,active,0,11,0,166,0,0,11
desa_murni,Desa Murni,Time-series (numeric),9/5/2021,19/5/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Pulau Pinang,"Seberang Perai Utara, Seberang Perai Tengah",education,active,0,42,0,111,0,0,42
desa_pinang,Desa Pinang,Time-series (numeric),2/12/2020,28/12/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,WP Kuala Lumpur & Selangor,"Kepong, Lembah Pantai, Titiwangsa, Cheras & Gombak",workplace,ended,0,104,0,308,0,0,104
desa_pinggiran_putra,Desa Pinggiran Putra,Time-series (numeric),25/5/2021,31/8/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Selangor,Sepang,religious,active,0,206,0,247,0,1,205
desa_ranggu,Desa Ranggu,Time-series (numeric),27/5/2021,13/6/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Sabah,"Tawau, Kota Kinabalu, Tuaran",community,active,0,44,0,99,0,0,44
desa_setapak,Desa Setapak,Time-series (numeric),7/1/2021,6/1/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,WP Kuala Lumpur,Titiwangsa,community,ended,0,15,0,25,0,0,15
desa_tun,Desa Tun,Time-series (numeric),30/1/2021,5/2/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,WP Kuala Lumpur,Cheras,workplace,ended,0,49,0,239,0,0,49
desa4,Desa Empat,Time-series (numeric),1/3/2021,28/2/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Selangor,Kuala Selangor,workplace,ended,0,18,0,28,0,0,18
dewani,Dewani,Time-series (numeric),2/1/2021,11/1/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Johor & Pahang,Johor Bahru & Rompin,workplace,ended,0,44,0,149,0,0,44
dialisis,Dialisis,Time-series (numeric),4/11/2020,29/12/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Sabah, Lahad Datu,highRisk,ended,0,78,0,182,0,0,78
dialisis_batu,Dialisis Batu,Time-series (numeric),12/1/2021,9/2/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,WP Kuala Lumpur,"Kepong, Titiwangsa & Cheras",highRisk,ended,0,13,0,147,0,1,12
dialisis_malim,Dialisis Malim,Time-series (numeric),13/1/2021,25/1/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Melaka,"Melaka Tengah, Alor Gajah & Jasin",highRisk,ended,0,34,0,69,0,0,34
dialisis_masjid_tanah,Dialisis Masjid Tanah,Time-series (numeric),9/2/2021,10/2/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Melaka & Negeri Sembilan,"Alor Gajah, Melaka Tengah, Jasin & Rembau",highRisk,ended,0,24,0,102,0,1,23
dialisis_putra,Dialisis Putra,Time-series (numeric),12/1/2021,16/1/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,WP Putrajaya,Putrajaya,highRisk,ended,0,18,0,73,0,0,18
dinamik,Dinamik,Time-series (numeric),22/4/2021,6/5/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Kedah,"Kota Setar, Kubang Pasu",education,active,0,124,0,783,0,0,124
disso,Disso,Time-series (numeric),9/4/2021,28/4/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Sarawak,"Saratok, Betong",community,ended,0,92,0,259,0,1,91
dti_bukit_jalil2,DTI Bukit Jalil,Time-series (numeric),21/5/2020,11/8/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,"WP Kuala Lumpur, Selangor & Negeri Sembilan","Cheras, Kepong & Port Dickson",detentionCentre,active,0,653,0,1662,0,0,653
dti_bukitjalil,DTI Bukit Jalil 2,Time-series (numeric),28/5/2021,30/6/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,WP Kuala Lumpur,Cheras,detentionCentre,ended,0,124,0,194,0,0,124
dti_jln_duta,DTI Jalan Duta,Time-series (numeric),19/3/2021,4/4/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,WP Kuala Lumpur,Kepong,detentionCentre,ended,0,77,0,134,0,0,77
dti_juru,DTI Juru,Time-series (numeric),19/3/2021,5/4/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Pulau Pinang,Seberang Perai Tengah,detentionCentre,ended,0,463,0,689,0,0,463
dti_lenggeng,DTI Lenggeng,Time-series (numeric),16/4/2021,3/6/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Negeri Sembilan,"Seremban, Port Dickson",detentionCentre,active,0,325,0,356,0,1,324
dti_machap_umboo,DTI Machap Umboo,Time-series (numeric),11/3/2021,21/3/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Melaka,Alor Gajah,detentionCentre,ended,0,85,0,764,0,0,85
dti_persiaran_wawasan,DTI Persiaran Wawasan,Time-series (numeric),7/3/2021,16/3/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Perlis & Kedah,"Kangar, Kota Setar",detentionCentre,ended,0,91,0,313,0,0,91
dti_sandakan,DTI Sandakan,Time-series (numeric),16/4/2021,16/4/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Sabah,Sandakan,detentionCentre,ended,0,56,0,464,0,0,56
dti_semenyih,DTI Semenyih,Time-series (numeric),23/5/2020,23/5/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Selangor,Hulu Langat,detentionCentre,ended,0,66,0,1785,0,0,66
dti_semenyih2,DTI Semenyih 2,Time-series (numeric),4/9/2020,3/9/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Selangor & Negeri Sembilan,Hulu Langat & Seremban,detentionCentre,ended,0,3,0,356,0,1,2
dti_sepang,DTI Sepang,Time-series (numeric),25/5/2020,24/5/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Selangor,Sepang,detentionCentre,ended,0,72,0,1477,0,0,72
dti_sepang2,DTI Sepang 2,Time-series (numeric),17/1/2021,11/4/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Selangor,"Sepang, Hulu Langat",detentionCentre,ended,0,158,0,325,0,0,158
dti_tanah_merah,DTI Tanah Merah,Time-series (numeric),27/5/2021,26/6/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Kelantan,Tanah Merah,detentionCentre,active,0,342,0,842,0,0,342
dtsi_putrajaya,DTSI Putrajaya,Time-series (numeric),30/5/2020,30/5/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,WP Kuala Lumpur & WP Putrajaya,Putrajaya,detentionCentre,ended,0,2,0,137,0,0,2
duranda_emas,Duranda Emas,Time-series (numeric),21/4/2021,11/5/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Sarawak,"Serian, Kuching",community,active,0,75,0,825,0,0,75
durin,Durin,Time-series (numeric),1/5/2021,1/5/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Sarawak,Bau,workplace,active,0,9,0,96,0,0,9
ehsan_ibol,Ehsan Ibol,Time-series (numeric),4/1/2021,9/1/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Perak & Selangor,"Hulu Perak, Larut, Matang, Selama & Gombak",community,ended,0,31,0,85,0,0,31
elsa,Elsa,Time-series (numeric),24/7/2020,23/7/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Pahang,Kuantan,import,ended,0,4,0,109,0,0,4
emas_bemban,Emas Bemban,Time-series (numeric),31/3/2021,30/3/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Kedah,"Baling, Sik",community,ended,0,6,0,36,0,0,6
embun,Embun,Time-series (numeric),4/10/2020,6/10/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Selangor,Hulu Langat & Gombak,community,ended,0,7,0,247,0,0,7
emperan,Emperan,Time-series (numeric),10/5/2021,14/6/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Sarawak,"Selangau, Sibu",community,active,0,217,0,556,0,1,216
emperoh_jambu,Emperoh Jambu,Time-series (numeric),22/2/2021,17/4/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Sarawak ,"Kuching, Samarahan, Bau, Serian, Asajaya, Saratok",community,ended,0,376,0,3019,0,0,376
enggor,Enggor,Time-series (numeric),20/11/2020,23/12/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Perak & Pulau Pinang,"Kerian, Kuala Kangsar, Batang Padang, Kinta, Hilir Perak & Seberang Perai Tengah",community,ended,0,372,0,1962,0,0,372
erima,Erima,Time-series (numeric),11/12/2020,11/12/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Selangor,Gombak,workplace,ended,0,34,0,100,0,0,34
estate_maju,Estate Maju,Time-series (numeric),20/12/2020,25/12/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Sabah,"Kota Kinabalu, Putatan & Tuaran",workplace,ended,0,29,0,117,0,0,29
fasa2_semarak,Fasa Dua Semarak,Time-series (numeric),30/3/2021,5/4/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Sabah,Tawau,community,ended,0,8,0,160,0,0,8
firma,Firma,Time-series (numeric),6/1/2021,16/1/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Johor,Johor Bharu,workplace,ended,0,73,0,149,0,0,73
flat_pkns,SubTabligh Sri Petaling - Flat PKNS,Time-series (numeric),16/4/2020,16/3/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,WP Kuala Lumpur,Titiwangsa,religious,ended,0,37,0,979,0,1,36
fores,Fores,Time-series (numeric),6/11/2020,6/11/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Selangor & WP Kuala Lumpur,"Gombak, Petaling, Klang & Kepong",workplace,ended,0,21,0,190,0,0,21
gading,Gading,Time-series (numeric),4/11/2020,6/12/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,"WP Putrajaya, Negeri Sembilan, Johor & Selangor","Putrajaya, Seremban, Segamat, Batu Pahat, Kuala Langat, Petaling & Sepang",workplace,ended,0,13,0,86,0,0,13
gala,Gala,Time-series (numeric),30/10/2020,10/11/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Negeri Sembilan,Jelebu & Seremban ,highRisk,ended,0,15,0,366,0,0,15
gangsa,Gangsa,Time-series (numeric),25/11/2020,5/12/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Selangor,"Petaling, Kuala Langat & Klang",workplace,ended,0,59,0,300,0,0,59
garden,Garden,Time-series (numeric),18/11/2020,18/11/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Sabah,Tawau,workplace,ended,0,12,0,35,0,0,12
gedong,Gedong,Time-series (numeric),2/11/2020,30/11/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,"Negeri Sembilan, Selangor, Johor, WP Kuala Lumpur & WP Putrajaya","Seremban, Port Dickson, Kuala Pilah, Tampin, Rembau, Petaling, Gombak, Klang, Hulu Langat, Johor Bahru, Cheras, Lembah Pantai & Putrajaya",education,ended,0,73,0,812,0,1,72
gelong,Gelong,Time-series (numeric),16/2/2021,8/4/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Sarawak,"Kapit, Bukit Mabong, Sibu",community,ended,0,296,0,341,0,0,296
gemilang,Gemilang,Time-series (numeric),26/11/2020,28/11/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Johor,Johor Bahru & Kulai,workplace,ended,0,28,0,300,0,0,28
genting_terang,Genting Terang,Time-series (numeric),26/2/2021,28/2/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Pulau Pinang,"Barat Daya, Seberang Perai Selatan",workplace,ended,0,26,0,133,0,0,26
gerbang_pongsu,Gerbang Pongsu,Time-series (numeric),30/12/2020,5/1/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Perak,Kerian & Kinta,community,ended,0,10,0,56,0,0,10
gk_tawau,GK Tawau,Time-series (numeric),10/11/2020,3/1/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Sabah,Tawau,detentionCentre,ended,0,102,0,685,0,0,102
gombak,Gombak,Time-series (numeric),7/6/2020,19/5/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Selangor & WP Kuala Lumpur,Gombak & Titiwangsa,community,ended,0,5,0,207,0,0,5
gong_badak,Gong Badak,Time-series (numeric),18/5/2021,9/6/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,"Terengganu, Pahang, Kelantan, Perak, Johor","Kuala Nerus, Kuala Terengganu, Besut, Marang, Setiu, Hulu Terengganu, Kemaman, Jerantut, Pasir Puteh, Tanah Merah, Hilir Perak, Tangkak",education,active,0,183,0,2324,0,0,183
gong_dermin,Gong Dermin,Time-series (numeric),23/4/2021,10/5/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,"Kelantan, Terengganu","Kota Bharu, Besut, Setiu, Pasir Mas",community,active,0,165,0,532,0,1,164
gong_kulim,Gong Kulim,Time-series (numeric),27/3/2021,5/4/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Kelantan,Pasir Puteh,community,ended,0,29,0,123,0,0,29
gong_nering,Gong Nering,Time-series (numeric),6/2/2021,17/2/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Terengganu,Besut,workplace,ended,0,44,0,272,0,0,44
greenhill,Greenhill,Time-series (numeric),28/10/2020,15/11/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Sarawak,"Kuching, Miri & Bintulu",community,ended,0,91,0,1556,0,0,91
gudang_genting,Gudang Genting,Time-series (numeric),10/5/2021,21/5/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,"Pahang, Negeri Sembilan","Bentong, Jelebu, Jempol, Kuala Pilah",workplace,active,0,48,0,945,0,2,46
gudang_salak_tinggi,Gudang Salak Tinggi,Time-series (numeric),6/2/2021,22/2/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Selangor,Sepang ,workplace,ended,0,203,0,458,0,0,203
gugusan_alam,Gugusan Alam,Time-series (numeric),16/5/2021,4/6/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Selangor,"Kuala Selangor, Klang",education,active,0,30,0,141,0,0,30
guntong_dalam,Guntong Dalam,Time-series (numeric),15/2/2021,24/2/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Terengganu,Besut,workplace,ended,0,49,0,341,0,0,49
gunung_raya,Gunung Raya,Time-series (numeric),21/1/2021,20/1/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Kedah,Langkawi,community,ended,0,11,0,46,0,0,11
hala_kg_jawa,Hala Kampung Jawa,Time-series (numeric),20/4/2021,5/5/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Pulau Pinang,"Timur Laut, Barat Daya, Seberang Perai Utara",workplace,active,0,134,0,329,0,0,134
hala_mutiara,Hala Mutiara,Time-series (numeric),23/12/2020,29/12/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Perak,Kinta,detentionCentre,ended,0,9,0,51,0,0,9
halban,Halban,Time-series (numeric),26/12/2020,21/1/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,"Kelantan, Terengganu, Negeri Sembilan, Selangor & Pulau Pinang","Kota Bharu, Pasir Puteh, Bachok, Tumpat, Tanah Merah, Pasir Mas, Kuala Krai,  Besut, Seremban, Klang & Seberang Perai Selatan",education,ended,0,175,0,651,0,1,174
halban2,Halban Dua,Time-series (numeric),25/4/2021,10/5/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Kelantan,Kota Bharu,education,active,0,139,0,156,0,0,139
hampar,Hampar,Time-series (numeric),26/10/2020,25/10/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Negeri Sembilan ,Rembau ,education,ended,0,5,0,671,0,0,5
harmoni,Harmoni,Time-series (numeric),9/11/2020,10/11/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,WP Putrajaya,Putrajaya,workplace,ended,0,6,0,80,0,0,6
harum,Harum,Time-series (numeric),2/1/2021,12/1/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Johor,Johor Bahru,workplace,ended,0,250,0,437,0,0,250
haven,Haven,Time-series (numeric),11/11/2020,25/11/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Sabah,Lahad Datu,highRisk,ended,0,22,0,207,0,0,22
hcw_sabah,Petugas Kesihatan Sabah,Time-series (numeric),18/4/2020,3/4/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Sabah,"Kota Kinabalu, Penampang, Keningau & Tuaran",highRisk,ended,0,35,0,1463,0,0,35
hcw_sarawak,Hospital Umum Sarawak,Time-series (numeric),17/4/2020,31/3/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Sarawak,Kuching,highRisk,ended,0,68,0,4849,0,0,68
hcw_sgbuloh,Hospital Sungai Buloh,Time-series (numeric),17/4/2020,23/3/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Selangor,Gombak,highRisk,ended,0,18,0,354,0,0,18
hentian,Hentian,Time-series (numeric),19/10/2020,13/4/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,"Selangor,  WP Kuala Lumpur, WP Putrajaya, Negeri Sembilan & Perak ","Hulu Langat, Petaling, Sepang, Klang, Gombak, Kuala Langat, Cheras, Titiwangsa, Putrajaya, Seremban,  Port Dickson, Kuala Pilah, Batang Padang",workplace,ended,0,3019,0,13372,0,0,3019
